expert_id,decode_r2,encode_linear_r2,encode_periodic_r2,periodic_gain,dim0_corr,dim0_linear_r2,dim0_periodic_r2,dim1_corr,dim1_linear_r2,dim1_periodic_r2,dim2_corr,dim2_linear_r2,dim2_periodic_r2
0,-3.0679580638444115,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
1,0.0008979060902724045,0.0001767508187607847,0.0008213796332185996,0.000644628814457815,0.020392722876669173,0.0004158631463245799,0.0013666354042838336,0.007505559239471147,5.633341949717874e-05,0.0003720522117829361,-0.007619441610815164,5.805589046059545e-05,0.0007254512835890292
2,0.0002867899420689879,0.00012000621107547775,0.0005996547568945335,0.00047964854581905575,-0.006594501553180754,4.348745073501359e-05,0.00020936029559526226,0.007733857085126433,5.9812545413095997e-05,0.0007162691447711866,0.016022441670304997,0.00025671863707832365,0.0008733348303171518
3,0.00010856107957901706,3.2888184918348586e-05,0.004139666085178721,0.004106777900260372,0.006745027460396758,4.5495395441741415e-05,0.0043085019285188375,0.0031425629731099253,9.87570204036281e-06,0.0038008472066431986,-0.006579776384722929,4.329345727294154e-05,0.004309649120374126
4,0.00023994073697275464,8.00503589185227e-05,0.00016159465584475452,8.154429692623182e-05,-0.00917388797057847,8.416022049650973e-05,0.00022213013468630471,0.009167227189703775,8.403805434742395e-05,0.00014609419176525584,-0.00848249974428324,7.195280191163445e-05,0.000116559641082703
5,1.3642623999166048e-05,1.1573643127575177e-06,0.0003226483384558554,0.00032149097414309785,0.0014963084140223884,2.2389388700805313e-06,0.0002625397328172019,0.0010616651151268233,1.1271328165252115e-06,0.0004704859600433986,0.00032560904711845164,1.060212516668102e-07,0.00023491932250696568
6,0.0012219430352051752,0.0004963520589849427,0.00158202742531884,0.0010856753663338972,0.014065235556761467,0.00019783085126734434,0.0018839482232348992,-0.01666875008373677,0.000277847229354089,0.000986950376388962,-0.031833600115811087,0.001013378096333395,0.001875183676332659
7,0.0005838072051835841,9.335829288714681e-05,0.0009458519797689672,0.0008524936868818204,0.003672493624275203,1.3487209420293134e-05,0.0015325475470711059,-0.0027588595055842466,7.611305771315635e-06,0.0005495909602420967,-0.016092742571416487,0.00025897636346983166,0.000755417431993699
8,0.001092487202201342,0.0003802233624546532,0.000618045499072665,0.00023782213661801183,-0.032340131835291844,0.0010458841271241415,0.0012235115440318856,0.00797939485955446,6.367074232482839e-05,0.0004250601886233163,-0.005578101640804593,3.1115217914989834e-05,0.00020556476456279338
9,4.857427133897474e-05,8.687730909599326e-06,0.00020238272899986143,0.0001936949980902621,-0.0019169067027319212,3.674531307118478e-06,6.433243219361451e-05,-0.0011902363938003724,1.416662673059399e-06,0.00025698554301423204,-0.004579519488843183,2.0971998748620102e-05,0.00028583021179173773
10,0.0009701714119482174,0.0004576162576704901,0.0011905927570916575,0.0007329764994211674,0.0010730951696735138,1.1515332429823388e-06,0.0005081199534124892,-0.020562740678016504,0.000422826304191104,0.0011399540060216262,0.03080374872604952,0.0009488709355773839,0.001923704311840857
11,0.0032055493913423216,0.0009673015851861347,0.002380723627770901,0.0014134220425847666,-0.040275009528523545,0.0016220763925229864,0.0028052403189635644,0.02911367554517689,0.0008476061037497873,0.002775851469084323,-0.020789955730728525,0.00043222225928563063,0.0015610790952648168
12,0.00040231915450905653,0.00011981595140749442,0.00030320949253185664,0.00018339354112436224,0.017368168833639123,0.00030165328863418495,0.00044729454110814526,-0.007580626958209687,5.74659050793791e-05,0.00022746462764944297,0.0005732892016698196,3.286605089192207e-07,0.00023486930883798163
13,2.9343741332343853e-05,8.608682756983121e-06,0.0001996349384068008,0.00019102625564981768,0.004926269919471354,2.4268135318972206e-05,0.00011990349261781219,0.0009370847296523216,8.781277900382634e-07,0.00025220359932465186,0.0008244908504299332,6.79785161938895e-07,0.00022679772327793835
14,-3.0679580638444115,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
